what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1346540401322
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1346540401338
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1346540401338
os,sysinfo,,,"win32",1346540401338
arch,sysinfo,,,"x86_64",1346540401338
ws,sysinfo,,,"win32",1346540401338
locale,sysinfo,,,"en_US",1346540401338
processors,sysinfo,,,"8",1346540401338
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346540401338
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1346540401338
java.specification.name,sysinfo,,,"Java Platform API Specification",1346540401338
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346540401338
java.specification.version,sysinfo,,,"1.6",1346540401338
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1346540401338
java.version,sysinfo,,,"1.6.0_27",1346540401338
java.vm.info,sysinfo,,,"mixed mode",1346540401338
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1346540401338
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346540401338
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346540401338
java.vm.specification.version,sysinfo,,,"1.0",1346540401338
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1346540401338
java.vm.version,sysinfo,,,"20.2-b06",1346540401338
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1346540401400
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346540401759
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1346540401759
started,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1346540401822
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346540401946
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1346540402321
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1346540402321
