what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1346600839596
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1346600841296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346600861763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346600863089
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1346600897721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346600915817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346600936903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346600946372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346600958228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346600959648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346600972554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346600985455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601006997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601011942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601049010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601056872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601063005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601072957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601081584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601097465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601110991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346601116170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346601138431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601140912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346601141052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346601150943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346601151801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346601152066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346601152269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346601152471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346601152643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346601191612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346601192548
